iter:44,loss:3.148921489715576,miou:0.031115954741835594
iter:45,loss:1.8508282899856567,miou:0.034274064004421234
iter:46,loss:0.5733926892280579,miou:0.1271761953830719
iter:47,loss:0.38545313477516174,miou:0.16212864220142365
iter:48,loss:0.9716445803642273,miou:0.043380796909332275
iter:49,loss:4.668006420135498,miou:0.009078919887542725
iter:50,loss:0.3955860733985901,miou:0.16430850327014923
iter:51,loss:5.284253120422363,miou:0.010712160728871822
iter:52,loss:1.967735767364502,miou:0.07941301167011261
iter:53,loss:2.2280421257019043,miou:0.03242435306310654
iter:54,loss:1.370715618133545,miou:0.08552663773298264
iter:55,loss:1.3104103803634644,miou:0.04165375232696533
iter:56,loss:4.3621368408203125,miou:0.03469020128250122
iter:57,loss:0.3757897615432739,miou:0.14517538249492645
iter:58,loss:1.1364306211471558,miou:0.04287073761224747
iter:59,loss:1.3743647336959839,miou:0.13305504620075226
iter:60,loss:2.5760231018066406,miou:0.06547459214925766
iter:61,loss:5.368461608886719,miou:0.013567475602030754
iter:62,loss:0.41371840238571167,miou:0.1353146731853485
iter:63,loss:1.725753664970398,miou:0.055229417979717255
iter:64,loss:1.9761571884155273,miou:0.08000165224075317
iter:65,loss:0.5292344093322754,miou:0.11749063432216644
iter:66,loss:3.558971881866455,miou:0.02429954893887043
iter:67,loss:4.007833957672119,miou:0.0253490898758173
iter:68,loss:2.9585795402526855,miou:0.03236802667379379
iter:69,loss:1.698516607284546,miou:0.08151398599147797
iter:70,loss:1.386537790298462,miou:0.03768967464566231
iter:71,loss:4.030259132385254,miou:0.030225692316889763
iter:72,loss:0.859897255897522,miou:0.04572216048836708
iter:73,loss:5.960667133331299,miou:0.01707448624074459
iter:74,loss:0.4687618911266327,miou:0.08886872231960297
iter:75,loss:1.4841290712356567,miou:0.07213378697633743
iter:76,loss:1.115794062614441,miou:0.14211857318878174
iter:77,loss:2.1916182041168213,miou:0.0746193677186966
iter:78,loss:1.3458412885665894,miou:0.10308267921209335
iter:79,loss:0.737420916557312,miou:0.0824541449546814
iter:80,loss:1.0676636695861816,miou:0.05971445515751839
iter:81,loss:5.584163188934326,miou:0.017427105456590652
iter:82,loss:0.883468508720398,miou:0.08126900345087051
iter:83,loss:1.5590860843658447,miou:0.09017010033130646
iter:84,loss:1.6199616193771362,miou:0.03775196895003319
iter:85,loss:2.16660475730896,miou:0.04850747436285019
iter:86,loss:1.080902099609375,miou:0.05590192973613739
iter:87,loss:2.5308878421783447,miou:0.03612681105732918
iter:88,loss:0.8173869848251343,miou:0.05749043822288513
iter:89,loss:1.460481882095337,miou:0.10005948692560196
iter:90,loss:0.34916865825653076,miou:0.15517818927764893
iter:91,loss:0.5220304727554321,miou:0.09516591578722
iter:92,loss:0.6853890419006348,miou:0.15103550255298615
iter:93,loss:1.033916711807251,miou:0.0519469790160656
iter:94,loss:0.2621161937713623,miou:0.1272834688425064
iter:95,loss:2.636838674545288,miou:0.035590339452028275
iter:96,loss:0.5844230651855469,miou:0.06761143356561661
iter:97,loss:1.2239433526992798,miou:0.06853821873664856
iter:98,loss:3.6097195148468018,miou:0.04466574266552925
iter:99,loss:3.427121877670288,miou:0.036412544548511505
iter:100,loss:3.041306495666504,miou:0.03961074352264404
iter:101,loss:1.7472363710403442,miou:0.09666237235069275
iter:102,loss:0.6636424660682678,miou:0.06892196834087372
iter:103,loss:1.215099811553955,miou:0.07044850289821625
iter:104,loss:1.8776600360870361,miou:0.03716583922505379
iter:105,loss:1.772125244140625,miou:0.06381402164697647
iter:106,loss:0.26668184995651245,miou:0.1794678121805191
iter:107,loss:1.8831746578216553,miou:0.0505119189620018
iter:108,loss:0.35433611273765564,miou:0.1604442000389099
iter:109,loss:2.418146848678589,miou:0.08016397804021835
iter:110,loss:3.195385217666626,miou:0.05093371495604515
iter:111,loss:0.5932539105415344,miou:0.09086564928293228
iter:112,loss:1.0312321186065674,miou:0.10069769620895386
iter:113,loss:1.7077887058258057,miou:0.07797975838184357
iter:114,loss:0.9145313501358032,miou:0.11983692646026611
iter:115,loss:0.40683338046073914,miou:0.09419829398393631
iter:116,loss:1.9007370471954346,miou:0.046633027493953705
iter:117,loss:2.442147970199585,miou:0.028412804007530212
iter:118,loss:1.189971923828125,miou:0.04949569329619408
iter:119,loss:4.555453300476074,miou:0.03269035369157791
iter:120,loss:0.328789085149765,miou:0.12462850660085678
iter:121,loss:3.3745102882385254,miou:0.06607206165790558
iter:122,loss:1.42190420627594,miou:0.05441003665328026
iter:123,loss:4.414183139801025,miou:0.023412689566612244
iter:124,loss:0.8255234956741333,miou:0.07304521650075912
iter:125,loss:0.7730570435523987,miou:0.08788736909627914
iter:126,loss:0.39597392082214355,miou:0.13793431222438812
iter:127,loss:1.160322666168213,miou:0.060824427753686905
iter:128,loss:0.379372239112854,miou:0.1707087755203247
iter:129,loss:0.6241283416748047,miou:0.13358524441719055
iter:130,loss:1.4184653759002686,miou:0.04050550237298012
iter:131,loss:0.7670319676399231,miou:0.14363226294517517
iter:132,loss:4.595730781555176,miou:0.023592786863446236
iter:133,loss:1.4655832052230835,miou:0.0569838285446167
iter:134,loss:0.23469123244285583,miou:0.16223502159118652
iter:135,loss:3.3820407390594482,miou:0.031102245673537254
iter:136,loss:0.3706076443195343,miou:0.15410621464252472
iter:137,loss:0.2805801331996918,miou:0.10478624701499939
iter:138,loss:0.2033277153968811,miou:0.13618910312652588
iter:139,loss:4.989651679992676,miou:0.03072928451001644
iter:140,loss:0.993802011013031,miou:0.0550360307097435
iter:141,loss:0.29039204120635986,miou:0.10576894134283066
iter:142,loss:0.5307391285896301,miou:0.13219192624092102
iter:143,loss:1.7004899978637695,miou:0.048258885741233826
iter:144,loss:2.102224826812744,miou:0.05231285095214844
iter:145,loss:0.8011677265167236,miou:0.11015933752059937
iter:146,loss:1.3075847625732422,miou:0.09001094102859497
iter:147,loss:1.2704485654830933,miou:0.05133555456995964
iter:148,loss:2.2911019325256348,miou:0.09924716502428055
iter:149,loss:1.5307608842849731,miou:0.05036979541182518
iter:150,loss:7.644556045532227,miou:0.0009916482958942652
iter:151,loss:0.4952591061592102,miou:0.07001157104969025
iter:152,loss:0.49444201588630676,miou:0.11393365263938904
iter:153,loss:0.23804029822349548,miou:0.2008282095193863
iter:154,loss:0.1441032588481903,miou:0.1912967413663864
iter:155,loss:0.4218764901161194,miou:0.06806964427232742
iter:156,loss:0.16800560057163239,miou:0.07993528991937637
iter:157,loss:0.7887306213378906,miou:0.11220606416463852
iter:158,loss:0.49139177799224854,miou:0.06687993556261063
iter:159,loss:0.6200112104415894,miou:0.12605020403862
iter:160,loss:0.6989523768424988,miou:0.13976874947547913
iter:161,loss:0.5672483444213867,miou:0.12808172404766083
iter:162,loss:0.2371932864189148,miou:0.07941146194934845
iter:163,loss:1.6582242250442505,miou:0.040660448372364044
iter:164,loss:0.5632694959640503,miou:0.1091860979795456
iter:165,loss:0.46452829241752625,miou:0.08557005971670151
iter:166,loss:5.401559352874756,miou:0.01990123651921749
iter:167,loss:0.6176489591598511,miou:0.1786516159772873
iter:168,loss:1.5229599475860596,miou:0.05940501019358635
iter:169,loss:2.089277505874634,miou:0.0920475423336029
iter:170,loss:2.2955918312072754,miou:0.08332052081823349
iter:171,loss:1.3144214153289795,miou:0.048290155827999115
iter:172,loss:0.18613454699516296,miou:0.17081975936889648
iter:173,loss:0.9567677974700928,miou:0.12187725305557251
iter:174,loss:0.527631402015686,miou:0.08782846480607986
iter:175,loss:0.6277075409889221,miou:0.07232117652893066
iter:176,loss:0.75798499584198,miou:0.07231166958808899
iter:177,loss:2.442803382873535,miou:0.07058503478765488
iter:178,loss:0.8560585975646973,miou:0.09915570914745331
iter:179,loss:0.7557322978973389,miou:0.08992058038711548
iter:180,loss:0.3517557978630066,miou:0.1642289012670517
iter:181,loss:5.015026569366455,miou:0.023621350526809692
iter:182,loss:0.41594815254211426,miou:0.11055094748735428
iter:183,loss:0.17433637380599976,miou:0.16652709245681763
iter:184,loss:0.7609136700630188,miou:0.05003100261092186
iter:185,loss:5.779159069061279,miou:0.03543560579419136
iter:186,loss:1.3086457252502441,miou:0.05159345641732216
iter:187,loss:0.4641302227973938,miou:0.08831493556499481
iter:188,loss:0.21013425290584564,miou:0.077329620718956
iter:189,loss:1.8223907947540283,miou:0.05939968675374985
iter:190,loss:0.24785704910755157,miou:0.10630092024803162
iter:191,loss:0.15902510285377502,miou:0.14099052548408508
iter:192,loss:0.28924354910850525,miou:0.07577373087406158
iter:193,loss:1.359229326248169,miou:0.052190572023391724
iter:194,loss:0.24654090404510498,miou:0.14307846128940582
iter:195,loss:0.11905272305011749,miou:0.08232145011425018
iter:196,loss:1.3527798652648926,miou:0.07865207642316818
iter:197,loss:0.7865520715713501,miou:0.06301482766866684
iter:198,loss:0.30259716510772705,miou:0.2544630169868469
iter:199,loss:0.5273501873016357,miou:0.07535179704427719
